date,day_name,area,population,waste_kg,recyclable_kg,organic_kg,collection_capacity_kg,overflow,is_weekend,is_holiday,recycling_campaign,temp_c,rain_mm
2024-01-01,Monday,Riverside,17990,20898.0,5047.7,8777.9,20893.4,1,0,1,0,24.1,0.7
2024-01-02,Tuesday,Riverside,17970,18001.1,4750.4,6814.8,21832.2,0,0,0,0,24.1,5.9
2024-01-03,Wednesday,Riverside,17965,18708.2,4347.0,6491.1,19770.4,0,0,0,0,24.3,18.1
2024-01-04,Thursday,Riverside,17960,18788.9,4869.5,10412.8,22552.6,0,0,0,0,24.6,11.7
2024-01-05,Friday,Riverside,17959,18982.9,3921.8,7888.5,21068.9,0,0,0,0,23.9,4.0
2024-01-06,Saturday,Riverside,17949,18832.9,6412.9,8488.9,20430.1,0,1,0,0,22.7,13.2
2024-01-07,Sunday,Riverside,17937,20584.9,4846.9,9635.7,21526.9,0,1,0,0,25.1,12.0
2024-01-08,Monday,Riverside,17934,18146.6,4704.0,8433.3,21235.6,0,0,0,0,23.8,0.0
2024-01-09,Tuesday,Riverside,17927,18865.0,5934.8,6465.9,21558.5,0,0,0,0,25.2,6.9
2024-01-10,Wednesday,Riverside,17929,18543.6,4727.9,8661.2,22131.5,0,0,0,0,24.9,0.0
2024-01-11,Thursday,Riverside,17936,18760.8,4459.3,10037.5,21530.8,0,0,0,0,23.1,5.8
2024-01-12,Friday,Riverside,17939,18271.0,5906.9,7204.3,21898.9,0,0,0,0,24.3,0.0
2024-01-13,Saturday,Riverside,17934,19506.5,7097.8,8005.7,21649.2,0,1,0,0,23.2,5.5
2024-01-14,Sunday,Riverside,17934,18694.5,4983.7,11390.4,19664.3,0,1,0,0,25.5,0.0
2024-01-15,Monday,Riverside,17934,18883.6,5878.9,10265.7,20742.5,0,0,0,0,23.5,0.0
2024-01-16,Tuesday,Riverside,17935,19391.5,5005.5,7127.7,21934.8,0,0,0,0,24.6,5.7
2024-01-17,Wednesday,Riverside,17928,19736.7,5353.8,8350.6,20376.5,0,0,0,0,23.8,11.4
2024-01-18,Thursday,Riverside,17930,19471.0,6456.7,7776.6,20901.3,0,0,0,0,23.7,8.2
2024-01-19,Friday,Riverside,17937,17619.9,5008.2,7137.6,21181.8,0,0,0,0,22.8,5.3
2024-01-20,Saturday,Riverside,17931,19797.8,4089.4,11568.7,22015.7,0,1,0,0,25.6,0.0
2024-01-21,Sunday,Riverside,17926,20091.6,5184.8,9363.0,22431.3,0,1,0,0,25.0,6.7
2024-01-22,Monday,Riverside,17939,18971.7,5532.4,8318.3,21750.5,0,0,0,0,24.0,0.4
2024-01-23,Tuesday,Riverside,17935,18112.5,5613.8,7505.6,22097.5,0,0,0,0,24.4,0.0
2024-01-24,Wednesday,Riverside,17943,18279.0,2627.3,8993.1,18257.5,1,0,0,0,25.4,0.0
2024-01-25,Thursday,Riverside,17937,19005.8,4734.8,8663.9,21909.9,0,0,0,0,24.1,0.0
2024-01-26,Friday,Riverside,17943,17836.3,6167.2,9466.1,21722.7,0,0,0,0,24.5,4.1
2024-01-27,Saturday,Riverside,17934,20677.6,7164.6,9655.9,20589.7,1,1,0,0,25.7,9.4
2024-01-28,Sunday,Riverside,17924,19879.3,4333.4,8984.7,22414.4,0,1,0,0,25.3,1.4
2024-01-29,Monday,Riverside,17919,19219.9,4471.8,7597.9,21101.6,0,0,0,0,24.3,10.4
